Date,Parameter,Parameter_Category,Operating_Area,System_City,System_City_Calculated
1-May-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1768
2-May-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1875
3-May-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1972
4-May-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1894
5-May-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1953
6-May-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1980
7-May-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2089
8-May-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2145
9-May-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2159
10-May-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2140
11-May-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2096
12-May-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2021
13-May-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2113
14-May-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2069
15-May-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1903
16-May-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2018
17-May-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2023
18-May-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2107
19-May-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2023
20-May-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2084
21-May-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2275
22-May-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2351
23-May-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2282
24-May-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2284
25-May-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2203
26-May-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,1951
27-May-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2072
28-May-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2288
29-May-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2303
30-May-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2263
31-May-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2237
1-Jun-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2175
2-Jun-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2051
3-Jun-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2054
4-Jun-11,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2172
